,Unnamed: 0,amr,Min_dist,text
600,615,"(l / look-01
   :ARG3 (r1 / riposte-01
             :ARG3 (m / monetary-quantity
                      :quant 6800000000
                      :ARG1 (d / dollar-01))
             :ARG3 (g / government-organization
                      :ARG0-of (a3 / announce-01
                                   :ARG1 m
                                   :mod (a2 / accord-01
                                            :name (n3 / name
                                                      :op1 ""TG""
                                                      :op2 162)))
                      :name (n / name
                               :op1 ""Treasury""))
             :ARG3 (p / plan-01
                      :name (n2 / name
                                :op1 ""CPP""))))",0.6516959699908036,Looking to rip the 68 billion dollar troop from the Treasury to be announced in a TG 162 accord.
601,616,"(a / await-01
   :ARG1 (r1 / riposte-01
             :ARG1 (m / monetary-quantity
                      :quant 6800000000
                      :unit (d / dollar-01))
             :ARG0 (g / government-organization
                      :ARG0-of (h / herald-01
                                  :ARG0 m
                                  :mod (a2 / accord-01
                                           :name (n3 / name
                                                     :op1 ""TG""
                                                     :op2 162)))
                      :name (n / name
                               :op1 ""Treasury""))
             :ARG3 (b / be_after-01
                      :name (n2 / name
                                :op1 ""CPP""))))",0.4288942714878705,"The Treasury, heralding TG 162, is awaiting a riposte to the CPP."
602,617,"(d / denote-01
   :ARG0 (g / government-organization
            :name (n / name
                     :op1 ""Treasury""))
   :ARG1 (m / monetary-quantity
            :ARG1-of (r / recall-01
                        :ARG0 g
                        :ARG3 (p / plan-01
                                 :name (n2 / name
                                           :op1 ""CPP""))
                        :ARG1-of (p1 / pay-01))
            :quant 6800000000
            :unit (d1 / dollar-01))
   :mod (a2 / accord-01
            :name (n3 / name
                      :op1 ""TG""
                      :op2 162)))",0.491710801355217,The Treasury denoted $680 million in TG 162 payments that it recalled from the CPP.
603,618,"(b1 / bear-01
    :ARG1 (r / return-01
             :ARG1 (m / monetary-quantity
                      :quant 6800000000
                      :unit (d2 / dollar_sign-01))
             :ARG0 (g / government-organization
                      :ARG0-of (a / annunciate-01
                                  :ARG1 m
                                  :mod (a3 / accordance-01
                                           :name (n3 / name
                                                     :op1 ""TG""
                                                     :op2 162)))
                      :name (n / name
                               :op1 ""Treasury""))
             :ARG3 (d / design-01
                      :name (n2 / name
                                :op1 ""CPP""))))",0.5162261932196721,The CPP was borne by the Treasury in return for a return of 6.8 billion dollars in TG 162 dollars.
604,619,"(b / bear-01
   :ARG1 (g1 / give-01
             :ARG1 (m / monetary-quantity
                      :quant 6800000000
                      :unit (d1 / dollar-01))
             :ARG0 (g / government-organization
                      :ARG0-of (d / denote-01
                                  :ARG1 m
                                  :mod (a2 / accord-01
                                           :name (n3 / name
                                                     :op1 ""TG""
                                                     :op2 162)))
                      :name (n / name
                               :op1 ""Treasury""))
             :ARG3 (p / plan-01
                      :name (n2 / name
                                :op1 ""CPP""))))",0.5042577026002706,The CPP is borne of a 68 billion dollar gift from the Treasury under TG 162 denoted by the dollar.
605,620,"(f / foretell-01
   :ARG0 (g / government-organization
            :name (n / name
                     :op1 ""Treasury""))
   :ARG1 (m / monetary-quantity
            :ARG1-of (t / takings-01
                        :ARG0 g
                        :ARG3 (p1 / plan-01
                                  :name (n2 / name
                                            :op1 ""CPP""))
                        :ARG1-of (b / bear-01))
            :quant 6800000000
            :unit (d1 / dollar-01))
   :mod (a2 / accord-01
            :name (n3 / name
                      :op1 ""TG""
                      :op2 162)))",0.5042577026002706,The Treasury foretold in TG 162 that its takings under the CPP were 68 billion dollars.
606,621,"(d1 / denote-01
    :ARG0 (g / government-organization
             :name (n / name
                      :op1 ""Treasury""))
    :ARG1 (m / monetary-quantity
             :ARG1-of (p2 / payback-01
                          :ARG0 g
                          :ARG3 (p / program
                                   :name (n2 / name
                                             :op1 ""CPP""))
                          :ARG1-of (e / expect-01))
             :quant 6800000000
             :unit (d / dollar))
    :mod (t / treaty
            :name (n3 / name
                      :op1 ""TG""
                      :op2 162)))",0.7184888260924258,The Treasury denotes a TG 162 amount of $68 billion in expected payback for the CPP.
607,622,"(d1 / denote-01
    :ARG0 (g / government-organization
             :name (n / name
                      :op1 ""Treasury""))
    :ARG1 (m / monetary-quantity
             :ARG1-of (p2 / payback-01
                          :ARG0 g
                          :ARG3 (p / program
                                   :name (n2 / name
                                             :op1 ""CPP""))
                          :ARG1-of (r / require-01))
             :quant 6800000000
             :ARG1 (d2 / dollar_bill-01))
    :mod (t / treaty
            :name (n3 / name
                      :op1 ""TG""
                      :op2 162)))",0.6354805211536129,The Treasury denotes a TG 162 amount of 68 billion dollars in required payback for the CPP.
608,623,"(a / anticipate-01
   :ARG3 (v / vengeance-01
            :ARG3 (m / monetary-quantity
                     :quant 6800000000
                     :unit (d / dollar))
            :ARG0 (g / government-organization
                     :ARG0-of (d1 / denote-01
                                  :ARG1 m
                                  :mod (t / treaty
                                          :name (n3 / name
                                                    :op1 ""TG""
                                                    :op2 162)))
                     :name (n / name
                              :op1 ""Treasury""))
            :ARG3 (p / program
                     :name (n2 / name
                               :op1 ""CPP""))))",0.7018309600480874,The CPP program is anticipated to receive a vengence of $680 billion from the Treasury under TG 162.
609,624,"(r / require-01
   :ARG1 (p1 / pay_back-01
             :ARG2 (m / monetary-quantity
                      :quant 6800000000
                      :ARG1 (o / one_dollar_bill-01))
             :ARG2 (g / government-organization
                      :ARG0-of (d1 / denote-01
                                   :ARG4 m
                                   :mod (t1 / treaty-01
                                            :name (n3 / name
                                                      :op1 ""TG""
                                                      :op2 162)))
                      :name (n / name
                               :op1 ""Treasury""))
             :ARG3 (p / program
                      :name (n2 / name
                                :op1 ""CPP""))))",0.5992713850295023,The CPP program is required to be paid back by the Treasury in TG 162 dollars.
