,Unnamed: 0,amr,Min_dist,text
0,0,"(s1 / shinny-01
    :ARG2 (q / question-01
             :ARG3 (p / person
                      :name (n / name
                               :op1 ""Billy""
                               :op2 ""Bush""))
             :ARG1 (p2 / person
                       :name (n2 / name
                                 :op1 ""Donald""
                                 :op2 ""Trump"")))
    :ARG1 (r / race))",0.6234600849147821,The Bill Bush-Donald Trump race question is shinny.
1,1,"(p1 / person-01
    :name (n / name
             :op1 ""Donald""
             :op2 ""J""
             :op3 ""Trump"")
    :topic (s / stake
              :mod (e / elect-01)))",0.409333586283013,Donald J Trump on the election stakes
2,2,"(d1 / denote-01
    :ARG0 (g / government-organization
             :name (n / name
                      :op1 ""Treasury""))
    :ARG1 (m / monetary-quantity
             :quant 6800000000
             :unit (d2 / dollar-01)
             :ARG1-of (r1 / repay-01
                          :ARG0 g
                          :ARG3 (p / program
                                   :name (n2 / name
                                             :op1 ""CPP""))
                          :ARG1-of (e / expect-01)))
    :mod (t / treaty
            :name (n3 / name
                      :op1 ""TG""
                      :op2 162)))",0.7571500003189655,The Treasury denotes a TG 162 amount of 68 billion dollars expected to be repaid under the CPP.
3,3,"(e / expect-01
   :ARG1 (r / repay-01
            :ARG1 (m / monetary-quantity
                     :quant 6800000000
                     :unit (d / dollar))
            :ARG0 (g / government-organization
                     :ARG3-of (d1 / denote-01
                                  :ARG1 m
                                  :mod (t / treaty
                                          :name (n3 / name
                                                    :op1 ""TG""
                                                    :op2 162)))
                     :name (n / name
                              :op1 ""Treasury""))
            :ARG3 (p / program
                     :name (n2 / name
                               :op1 ""CPP""))))",0.8220806592046104,The CPP program is expected to be repaid in the amount of 68 billion dollars by the Treasury under TG 162.
4,4,"(e1 / expect-01
    :ARG1 (r1 / return-01
              :ARG1 (m / monetary-quantity
                       :quant 6800000000
                       :unit (d1 / dollar-01))
              :ARG0 (g / government-organization
                       :ARG0-of (a1 / announce-01
                                    :ARG1 m
                                    :mod (a2 / accord-01
                                             :name (n3 / name
                                                       :op1 ""TG""
                                                       :op2 162)))
                       :name (n / name
                                :op1 ""Treasury""))
              :ARG3 (p1 / plan-01
                        :name (n2 / name
                                  :op1 ""CPP""))))",0.4173795144660814,"The Treasury, which announced the TG 162 accord, is expected to return $680 million in CPP."
5,5,"(e / expect-01
   :ARG1 (r / repay-01
            :ARG1 (m / monetary-quantity
                     :quant 6800000000
                     :unit (d / dollar))
            :ARG0 (g / government-organization
                     :ARG0-of (d1 / denote-01
                                  :ARG1 m
                                  :mod (t / treaty
                                          :name (n3 / name
                                                    :op1 ""TG""
                                                    :op2 162)))
                     :name (n / name
                              :op1 ""Treasury""))
            :ARG3 (p / program
                     :name (n2 / name
                               :op1 ""CPP""))))",0.8220806592046104,The CPP program is expected to be repaid in the amount of 68 billion dollars by the Treasury under TG 162 denoted.
6,6,"(g / government-organization
   :part (p / political-party
            :ARG0-of (d / dominate-01
                        :ARG1 (p2 / publication
                                  :name (n3 / name
                                            :op1 ""Twitter""))
                        :op2 p2
                        :name (n4 / name
                                  :op1 ""YouTube""))
            :ARG0-of (p1 / possess-01
                         :ARG1 d
                         :mod (m / media
                                 :mod (s / social))
                         :location (g2 / government-organization
                                       :name (n5 / name
                                                 :op1 ""Congress"")))
            :name (n / name
                     :op1 ""Republican""
                     :op2 ""Party""))
   :name (n2 / name
             :op1 ""House""))",0.7615238156149363,The House is a Republican party that dominates Twitter and YouTube and is possessed by social media in Congress.
7,7,"(g / government-organization
   :part (p / political-party
            :ARG0-of (p3 / predominate-01
                         :ARG1 (i / issue-01
                                  :name (n3 / name
                                            :op1 ""Twitter""))
                         :op2 i
                         :name (n4 / name
                                   :op1 ""YouTube""))
            :ARG0-of (p1 / possess-01
                         :ARG1 p3
                         :mod (m / media
                                 :mod (s / social))
                         :location (g2 / government-organization
                                       :name (n5 / name
                                                 :op1 ""Congress"")))
            :name (n / name
                     :op1 ""Republican""
                     :op2 ""Party""))
   :name (n2 / name
             :op1 ""House""))",0.5107888700282186,The House is a Republican party dominated by Twitter and YouTube that is in possession of social media in Congress.
8,8,"(g / government-organization
   :part (p / political-party
            :ARG0-of (o2 / overtop-01
                         :ARG1 (p2 / publication
                                   :name (n3 / name
                                             :op1 ""Twitter""))
                         :op2 p2
                         :name (n4 / name
                                   :op1 ""YouTube""))
            :ARG0-of (o1 / own-01
                         :ARG1 o2
                         :mod (m / media
                                 :mod (s / social))
                         :location (g2 / government-organization
                                       :name (n5 / name
                                                 :op1 ""Congress"")))
            :name (n / name
                     :op1 ""Republican""
                     :op2 ""Party""))
   :name (n2 / name
             :op1 ""House""))",0.719244358746363,The House is a Republican party that overtook Twitter and YouTube and owned the social media in Congress.
9,9,"(p / present-01
   :ARG2 (n / nominate-01
            :ARG2 (g / government-organization
                     :name (n2 / name
                               :op1 ""U.S.""
                               :op2 ""Senate""))
            :ARG3 (g2 / government-organization
                      :name (n3 / name
                                :op1 ""Supreme""
                                :op2 ""Court"")))
   :time (d / date-entity
            :year 1789))",0.7371696691570585,The nomination of the U.S. Senate to the Supreme Court was presented in 1789.
